# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30011058			Unknown protein		
SMED30011059			Unknown protein		
SMED30023042			Unknown protein		
SMED30023041	tr|I1ZID8|I1ZID8_SCHMD	***	TNF receptor associated factor-2		GO:0046872
SMED30023040	tr|R7TMD3|R7TMD3_CAPTE	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30023046			Unknown protein		
SMED30023045			Unknown protein		
SMED30023044	tr|K1PJ37|K1PJ37_CRAGI	***	ATP-binding cassette sub-family A member 1		GO:0000166, GO:0005524, GO:0016020, GO:0016021, GO:0016887, GO:0042626, GO:0055085
SMED30023043			Unknown protein		
SMED30023049	sp|Q8AVR2|FGOP2_XENLA	***	FGFR1 oncogene partner 2 homolog		GO:0005737
SMED30023048	tr|G1CFQ9|G1CFQ9_PHRMY	*-*	TNF receptor-associated factor 6		GO:0004842, GO:0005164, GO:0016567
SMED30023047			Unknown protein		
SMED30011064			Unknown protein		
SMED30011065	sp|Q0IHY4|TBC12_XENTR	*-*	TBC1 domain family member 12		GO:0005096
SMED30035010			Unknown protein		
SMED30011066			Unknown protein		
SMED30011067			Unknown protein		
SMED30011060			Unknown protein		
SMED30035013			Unknown protein		
SMED30011061	tr|A0A0J7NEC4|A0A0J7NEC4_LASNI	*-*	DUF659 domain-containing protein		GO:0000122, GO:0001227, GO:0003690, GO:0005634, GO:0006357
SMED30035014			Unknown protein		
SMED30011062			Unknown protein		
SMED30035011	tr|L1IC01|L1IC01_GUITC	*-*	Protein kinase domain-containing protein		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468
SMED30011063			Unknown protein		
SMED30035012			Unknown protein		
SMED30035017	tr|A0A4Y2LNS5|A0A4Y2LNS5_ARAVE	*-*	Retrovirus-related Pol polyprotein from transposon TNT 1-94		
SMED30035018			Unknown protein		
SMED30035015			Unknown protein		
SMED30035016	tr|A0A5N4E0N0|A0A5N4E0N0_CAMDR	*-*	Disintegrin and metalloproteinase domain-containing protein 20		GO:0004222, GO:0006508, GO:0007229, GO:0008237
SMED30011068			Unknown protein		
SMED30011069	tr|D5JG45|D5JG45_DUGJA	***	Argonaute-2		GO:0003676, GO:0031047
SMED30035019			Unknown protein		
SMED30023031			Unknown protein		
SMED30025694			Unknown protein		
SMED30023030			Unknown protein		
SMED30025695			Unknown protein		
SMED30025696	tr|A0A0L8IE68|A0A0L8IE68_OCTBM	***	Carbonic anhydrase		GO:0004089, GO:0008270, GO:0016829
SMED30025697			Unknown protein		
SMED30023035			Unknown protein		
SMED30025690			Unknown protein		
SMED30023034	tr|A0A193KUH3|A0A193KUH3_SCHMD	***	GCR055		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30025691			Unknown protein		
SMED30023033			Unknown protein		
SMED30025692			Unknown protein		
SMED30023032			Unknown protein		
SMED30025693	tr|A0A2S2NMA2|A0A2S2NMA2_SCHGA	*-*	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30023039			Unknown protein		
SMED30023038			Unknown protein		
SMED30023037			Unknown protein		
SMED30023036			Unknown protein		
SMED30025698			Unknown protein		
SMED30025699			Unknown protein		
SMED30011075			Unknown protein		
SMED30035042	tr|H0X2V2|H0X2V2_OTOGA	*-*	Tetraspanin		GO:0002092, GO:0005615, GO:0005764, GO:0005765, GO:0005770, GO:0007160, GO:0009986, GO:0010008, GO:0016020, GO:0016021, GO:0016477, GO:0031226, GO:0031902, GO:0031904, GO:0032585, GO:0034613, GO:0035646, GO:0043473, GO:0048757, GO:0050931, GO:0070062, GO:0097487, GO:1900746, GO:1901379, GO:2001046
SMED30011076			Unknown protein		
SMED30035043			Unknown protein		
SMED30011077			Unknown protein		
SMED30035040	tr|A0A0X3P7Q2|A0A0X3P7Q2_SCHSO	***	Protein FAM92A1		
SMED30011078	tr|A0A3P8YP01|A0A3P8YP01_ESOLU	***	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0007165, GO:0008270, GO:0042981, GO:0043123, GO:0046872
SMED30035041	tr|A0A504YQH5|A0A504YQH5_FASGI	***	Pre-mRNA-splicing factor SPF27		GO:0006397
SMED30011071			Unknown protein		
SMED30035046			Unknown protein		
SMED30011072	tr|A0A1S3IQ26|A0A1S3IQ26_LINUN	***	lysophospholipid acyltransferase 7		GO:0016020, GO:0016021, GO:0016740, GO:0016746
SMED30035047	tr|U3JR78|U3JR78_FICAL	***	Sperm associated antigen 17		GO:0003351, GO:0005576, GO:1904158, GO:1990716
SMED30011073	tr|A0A4Y2BTF6|A0A4Y2BTF6_ARAVE	***	Histone-lysine N-methyltransferase SETMAR		GO:0008168, GO:0016740, GO:0032259
SMED30035044	tr|S4PMF7|S4PMF7_9NEOP	*-*	Deoxyribose-phosphate aldolase		GO:0003824, GO:0004139, GO:0005737, GO:0009264, GO:0016829
SMED30011074	sp|Q28DR7|DCTN6_XENTR	***	Dynactin subunit 6		GO:0000775, GO:0000776, GO:0000777, GO:0005694, GO:0005737, GO:0005856, GO:0005869
SMED30035045	tr|A0A183PFU2|A0A183PFU2_9TREM	*-*	Prefoldin subunit 3		GO:0006457, GO:0016272
SMED30035048			Unknown protein		
SMED30035049			Unknown protein		
SMED30011079	tr|A0A151NHL3|A0A151NHL3_ALLMI	*-*	X-ray repair cross-complementing protein 6		GO:0000723, GO:0003677, GO:0003678, GO:0003684, GO:0005634, GO:0006303, GO:0032508, GO:0042162, GO:0043564
SMED30023060			Unknown protein		
SMED30023064			Unknown protein		
SMED30023063	tr|K1QZF0|K1QZF0_CRAGI	***	Helicase POLQ-like protein		GO:0003676, GO:0004386, GO:0005524
SMED30023062	tr|Q0H219|Q0H219_SCHMD	***	Bruno-like		GO:0003676, GO:0003723
SMED30023061			Unknown protein		
SMED30023068			Unknown protein		
SMED30023067			Unknown protein		
SMED30023066	tr|W6U617|W6U617_ECHGR	*-*	Speedy protein A		GO:0003676, GO:0003723, GO:0046872
SMED30023065			Unknown protein		
SMED30011070			Unknown protein		
SMED30023069			Unknown protein		
SMED30011086	tr|T1IIR6|T1IIR6_STRMM	*-*	Tr-type G domain-containing protein		GO:0003924, GO:0005525
SMED30035031	tr|A0A4Y2KUL3|A0A4Y2KUL3_ARAVE	***	PiggyBac transposable element-derived protein 4		GO:0016020, GO:0016021
SMED30011087	tr|R4GGJ6|R4GGJ6_CHICK	*-*	Migration and invasion enhancer 1		
SMED30035032	tr|I3N450|I3N450_ICTTR	*-*	Phospholipase A(2)		GO:0004623, GO:0005509, GO:0005543, GO:0005576, GO:0005615, GO:0005783, GO:0006629, GO:0006644, GO:0016042, GO:0016787, GO:0046473, GO:0050482, GO:0070374, GO:0102567, GO:0102568
SMED30011088			Unknown protein		
SMED30011089			Unknown protein		
SMED30035030			Unknown protein		
SMED30011082			Unknown protein		
SMED30035035			Unknown protein		
SMED30011083			Unknown protein		
SMED30035036			Unknown protein		
SMED30011084	tr|A0A482W168|A0A482W168_9CUCU	***	Epidermal growth factor receptor kinase substrate 8		GO:0016301, GO:0016310
SMED30035033			Unknown protein		
SMED30011085			Unknown protein		
SMED30035034			Unknown protein		
SMED30035039			Unknown protein		
SMED30035037	tr|A0A4T0X3N2|A0A4T0X3N2_9ASCO	***	Ubiquitin-like domain-containing protein		GO:0003735, GO:0005840, GO:0006412
SMED30035038			Unknown protein		
SMED30023053			Unknown protein		
SMED30023052	tr|A0A267GEY4|A0A267GEY4_9PLAT	***	KH domain-containing protein		GO:0003676, GO:0003723
SMED30023051			Unknown protein		
SMED30023050	sp|P81178|ALDH2_MESAU	***	Aldehyde dehydrogenase, mitochondrial		GO:0004029, GO:0005739, GO:0005759, GO:0006068, GO:0016491, GO:0016620, GO:0043878, GO:0051287, GO:0055114
SMED30023057	tr|A0A0X3NNA2|A0A0X3NNA2_SCHSO	***	Polypyrimidine tract-binding protein 1		GO:0003676, GO:0003723
SMED30023056	tr|A0A2S2R2G6|A0A2S2R2G6_9HEMI	*-*	SCAN domain-containing protein 3		GO:0046983
SMED30023055			Unknown protein		
SMED30023054			Unknown protein		
SMED30011080			Unknown protein		
SMED30023059	tr|A0A2R2MIB5|A0A2R2MIB5_LINUN	***	EF-hand calcium-binding domain-containing protein 6		GO:0005509
SMED30011081			Unknown protein		
SMED30023058			Unknown protein		
SMED30001609			Unknown protein		
SMED30001607			Unknown protein		
SMED30001608	tr|A0A0H3YFB7|A0A0H3YFB7_SCHMD	***	Slc18a-2		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30001605			Unknown protein		
SMED30001606			Unknown protein		
SMED30001614	tr|K1PID0|K1PID0_CRAGI	***	Tight junction-associated protein 1		
SMED30001615			Unknown protein		
SMED30001612	tr|A0A3Q1B6M5|A0A3Q1B6M5_AMPOC	*-*	Hemicentin 1		GO:0005509, GO:0033333, GO:0033334, GO:0071711
SMED30001613			Unknown protein		
SMED30001610	sp|P22589|UBIQP_PHYIN	*-*	Polyubiquitin		GO:0005634, GO:0005737
SMED30001611			Unknown protein		
SMED30001618			Unknown protein		
SMED30001619			Unknown protein		
SMED30001616			Unknown protein		
SMED30001617			Unknown protein		
SMED30013603	tr|A0A2H1C1Z8|A0A2H1C1Z8_FASHE	*-*	Pre-mRNA cleavage complex 2 protein Pcf11		
SMED30013602			Unknown protein		
SMED30013605			Unknown protein		
SMED30013604			Unknown protein		
SMED30013601			Unknown protein		
SMED30013600	tr|S4NI94|S4NI94_9NEOP	***	Ring box protein		GO:0008270
SMED30001625			Unknown protein		
SMED30001626	tr|A0A419PQN1|A0A419PQN1_CLOSI	***	Guanine nucleotide-binding protein G(S) subunit alpha		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0019001, GO:0031683
SMED30001623	tr|A0A4E0RZX4|A0A4E0RZX4_FASHE	***	FAD-dependent oxidoreductase domain-containing protein 1		GO:0016020, GO:0016021, GO:0016491, GO:0055114
SMED30001624	tr|A0A2A2J5T9|A0A2A2J5T9_9BILA	***	HTH_48 domain-containing protein		GO:0016020, GO:0016021
SMED30001621			Unknown protein		
SMED30001622			Unknown protein		
SMED30001620			Unknown protein		
SMED30001629			Unknown protein		
SMED30001627	tr|H2KQR8|H2KQR8_CLOSI	***	Mitochondrial import receptor subunit TOM40		GO:0005741, GO:0008320, GO:0030150, GO:0055085
SMED30001628			Unknown protein		
SMED30013614			Unknown protein		
SMED30013613	sp|Q95WA0|RL26_LITLI	***	60S ribosomal protein L26		GO:0003735, GO:0005840, GO:0006412, GO:0015934
SMED30013616	tr|A0A183AAB9|A0A183AAB9_9TREM	*-*	ANK_REP_REGION domain-containing protein		
SMED30013615	tr|A0A0F8AHH8|A0A0F8AHH8_LARCR	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0015074
SMED30013610			Unknown protein		
SMED30013612	tr|A0A5E4N338|A0A5E4N338_9HEMI	*-*	Reverse transcriptase domain		GO:0003964, GO:0006278
SMED30013611			Unknown protein		
SMED30013607			Unknown protein		
SMED30013606	tr|A0A2I9LPM3|A0A2I9LPM3_9SCOR	***	60S ribosomal protein L7		GO:0000463, GO:0003735, GO:0005840, GO:0022625
SMED30013609			Unknown protein		
SMED30013608	sp|P62961|YBOX1_RAT	*-*	Y-box-binding protein 1		
SMED30001636	tr|A0A0X3NUC5|A0A0X3NUC5_SCHSO	***	E3 ubiquitin-protein ligase MYLIP		GO:0005856
SMED30025603			Unknown protein		
SMED30001637			Unknown protein		
SMED30025604	tr|A0A369S493|A0A369S493_9METZ	*-*	Sortilin-related receptor		GO:0005044, GO:0005794, GO:0006897, GO:0016020, GO:0016021
SMED30001634	tr|A0A0V0W155|A0A0V0W155_9BILA	***	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0008270, GO:0015074
SMED30025605	sp|Q4R5E1|AKTIP_MACFA	***	AKT-interacting protein		GO:0005737, GO:0005829, GO:0005886, GO:0006915, GO:0007032, GO:0007040, GO:0008333, GO:0015031, GO:0016020, GO:0045022, GO:0070695
SMED30001635	tr|A0A1S3JJ47|A0A1S3JJ47_LINUN	***	cathepsin B		GO:0004197, GO:0006508, GO:0008233, GO:0008234, GO:0016787, GO:0050790
SMED30025606			Unknown protein		
SMED30001632	tr|A0A504YZS6|A0A504YZS6_FASGI	***	Bromodomain-containing protein 2		GO:0016020, GO:0016021
SMED30001633			Unknown protein		
SMED30025600			Unknown protein		
SMED30001630	tr|B6VB99|B6VB99_SCOMX	*-*	Ras-related C3 botulinum toxin substrate 1		GO:0000166, GO:0003924, GO:0005525, GO:0007264
SMED30025601			Unknown protein		
SMED30001631	tr|C9WPR4|C9WPR4_SCHMD	***	Bcl2-like protein		GO:0042981
SMED30025602			Unknown protein		
SMED30001638			Unknown protein		
SMED30001639			Unknown protein		
SMED30013625			Unknown protein		
SMED30013624			Unknown protein		
SMED30013627			Unknown protein		
SMED30013626			Unknown protein		
SMED30013621			Unknown protein		
SMED30013620	tr|A0A3Q1F1T1|A0A3Q1F1T1_9TELE	*-*	TTF-type domain-containing protein		GO:0046983
SMED30013623			Unknown protein		
SMED30013622			Unknown protein		
SMED30001640			Unknown protein		
SMED30013618	tr|E2APH8|E2APH8_CAMFO	***	Phosphomevalonate kinase		GO:0000166, GO:0004631, GO:0005524, GO:0005737, GO:0006695, GO:0016301, GO:0016310
SMED30013617	tr|A0A068WJB1|A0A068WJB1_ECHGR	*-*	Ubiquitin protein ligase		GO:0004842, GO:0016567, GO:0016740, GO:0016874
SMED30013619			Unknown protein		
SMED30001647			Unknown protein		
SMED30001648	tr|A0A2K6C7M3|A0A2K6C7M3_MACNE	*-*	Phosphatase and actin regulator		GO:0003779, GO:0004864, GO:0008157, GO:0019888, GO:0032515, GO:0043666
SMED30001645	tr|A0A3Q3MSV4|A0A3Q3MSV4_9TELE	*-*	Zinc finger MIZ-type containing 2		GO:0008270
SMED30001646	tr|A0A1Y1X8Q8|A0A1Y1X8Q8_9FUNG	*-*	Eukaryotic translation initiation factor 4E		GO:0003723, GO:0003743, GO:0006412, GO:0006413
SMED30001643			Unknown protein		
SMED30001644			Unknown protein		
SMED30001641			Unknown protein		
SMED30001642	tr|A0A430Q0W6|A0A430Q0W6_SCHBO	***	La-related protein 1		GO:0003723
SMED30013630			Unknown protein		
SMED30025618			Unknown protein		
SMED30025619			Unknown protein		
SMED30001649	sp|Q9HGN1|GCN2_SCHPO	--*	eIF-2-alpha kinase GCN2		
SMED30013636	tr|A0A2Z4EM42|A0A2Z4EM42_SCHMD	***	Tspan1		GO:0016020, GO:0016021
SMED30013635	tr|A0A1Y1XBQ8|A0A1Y1XBQ8_9FUNG	*-*	Kinase-like protein		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30013638	tr|A0A154PEH1|A0A154PEH1_DUFNO	***	Glycine--tRNA ligase		GO:0000166, GO:0004812, GO:0004820, GO:0005524, GO:0005737, GO:0006418, GO:0006426, GO:0016874
SMED30013637	tr|E2BHZ2|E2BHZ2_HARSA	***	UPF0546 membrane protein AGAP012180		GO:0016020, GO:0016021
SMED30013632			Unknown protein		
SMED30013631			Unknown protein		
SMED30013634			Unknown protein		
SMED30013633	tr|A0A095AJT9|A0A095AJT9_SCHHA	*-*	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3		GO:0003924, GO:0005096, GO:0005525, GO:0043547, GO:0046872
SMED30001650			Unknown protein		
SMED30001651			Unknown protein		
SMED30025620			Unknown protein		
SMED30013629			Unknown protein		
SMED30013628			Unknown protein		
SMED30001658			Unknown protein		
SMED30025625			Unknown protein		
SMED30001659			Unknown protein		
SMED30025626			Unknown protein		
SMED30001656			Unknown protein		
SMED30025627			Unknown protein		
SMED30001657	tr|A0A1Y1DDA8|A0A1Y1DDA8_OMMBA	*-*	Paramyosin		GO:0003774, GO:0016459
SMED30025628	tr|R7T3W7|R7T3W7_CAPTE	***	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30001654			Unknown protein		
SMED30025621			Unknown protein		
SMED30001655			Unknown protein		
SMED30025622			Unknown protein		
SMED30001652			Unknown protein		
SMED30025623			Unknown protein		
SMED30001653			Unknown protein		
SMED30025624	tr|A0A210QV31|A0A210QV31_MIZYE	*-*	E3 ubiquitin-protein ligase LRSAM1		
SMED30013641	tr|A0A4Z2D2F4|A0A4Z2D2F4_SCHJA	*-*	CCR4-NOT transcription complex subunit 4		GO:0003676, GO:0003723, GO:0004842, GO:0016567, GO:0030014, GO:0046872
SMED30013640			Unknown protein		
SMED30025607	tr|U3J5T8|U3J5T8_ANAPP	***	Proprotein convertase subtilisin/kexin type 5		GO:0001822, GO:0002001, GO:0003279, GO:0004175, GO:0004252, GO:0005615, GO:0005794, GO:0006465, GO:0006508, GO:0007368, GO:0007507, GO:0008233, GO:0008236, GO:0009952, GO:0016485, GO:0016486, GO:0016787, GO:0019058, GO:0030323, GO:0035108, GO:0042089, GO:0042277, GO:0043043, GO:0048566, GO:0048706, GO:0060976
SMED30025608	tr|V9XRT9|V9XRT9_SCHMD	***	X1.A.G7.1		GO:0016020, GO:0016021
SMED30025609	tr|A0A2K5PCL3|A0A2K5PCL3_CEBCA	*-*	Zinc finger BED-type containing 5		GO:0003677
SMED30013647	tr|A0A3S5B7D0|A0A3S5B7D0_9PLAT	***	MFS domain-containing protein		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30013646			Unknown protein		
SMED30013649	tr|A0A4S2LBA2|A0A4S2LBA2_OPIFE	***	Kinesin-like protein		GO:0000166, GO:0003774, GO:0003777, GO:0005524, GO:0005874, GO:0007018, GO:0008017
SMED30013648	tr|A0A068WZB5|A0A068WZB5_ECHGR	***	DNA directed RNA polymerase III subunit RPC5		GO:0005634, GO:0006351
SMED30013643			Unknown protein		
SMED30013642	tr|A0A4W4GYA1|A0A4W4GYA1_ELEEL	*-*	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0007165, GO:0008270, GO:0042981, GO:0046872
SMED30013645	tr|G7YJN6|G7YJN6_CLOSI	***	Malate dehydrogenase		GO:0016491, GO:0055114
SMED30013644			Unknown protein		
SMED30001661	tr|A0A077YYL2|A0A077YYL2_TRITR	*-*	Lysine specific histone demethylase 1B		GO:0003677, GO:0008168, GO:0008270, GO:0016491, GO:0032259, GO:0055114
SMED30001662			Unknown protein		
SMED30001660	tr|A0A1S3J9U7|A0A1S3J9U7_LINUN	***	ras and EF-hand domain-containing protein homolog		GO:0003924, GO:0005509, GO:0005525
SMED30013639	tr|F1L6T3|F1L6T3_ASCSU	*-*	YEATS domain-containing protein 4		GO:0005634, GO:0006355
SMED30001669			Unknown protein		
SMED30025614			Unknown protein		
SMED30025615			Unknown protein		
SMED30001667			Unknown protein		
SMED30025616	tr|A0A2K6GGP8|A0A2K6GGP8_PROCO	***	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase		GO:0016020, GO:0016021
SMED30001668			Unknown protein		
SMED30025617			Unknown protein		
SMED30001665	tr|E3CTK4|E3CTK4_SCHMD	***	Secreted peptide prohormone-13		
SMED30025610	tr|A0A2S2NYJ7|A0A2S2NYJ7_SCHGA	*-*	Repressor of the inhibitor of the protein kinase		GO:0016301, GO:0016310, GO:0046983
SMED30001666	tr|A0A0H3YJ27|A0A0H3YJ27_SCHMD	***	Slc18a-1		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30025611			Unknown protein		
SMED30001663	tr|A0A068WFL3|A0A068WFL3_ECHGR	*-*	Expressed conserved protein		
SMED30025612			Unknown protein		
SMED30001664	tr|A0A4Q9KXT2|A0A4Q9KXT2_9MICR	***	DDE-like endonuclease		GO:0004519, GO:0090305
SMED30025613			Unknown protein		
SMED30013650	tr|A0A1X2GP02|A0A1X2GP02_9FUNG	*-*	Kinase-like protein		GO:0000160, GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30013652	tr|A0A0X3PK87|A0A0X3PK87_SCHSO	***	E3 ubiquitin-protein ligase RFWD3		GO:0004842, GO:0005634, GO:0016567, GO:0036297
SMED30013651			Unknown protein		
SMED30013658			Unknown protein		
SMED30013657			Unknown protein		
SMED30013659			Unknown protein		
SMED30013654			Unknown protein		
SMED30013653	tr|A0A1W7RAA7|A0A1W7RAA7_9SCOR	***	Protein lifeguard 4		GO:0016020, GO:0016021
SMED30013656			Unknown protein		
SMED30013655	sp|Q5HZ92|CPTP_XENLA	***	Ceramide-1-phosphate transfer protein		GO:0005543, GO:0005634, GO:0005640, GO:0005737, GO:0005768, GO:0005794, GO:0005829, GO:0005886, GO:0006869, GO:0008289, GO:0010008, GO:0010507, GO:0016020, GO:0050713, GO:0120009, GO:0120013, GO:1900226, GO:1902387, GO:1902388, GO:1902389
SMED30001672	tr|A0A151I9R2|A0A151I9R2_9HYME	***	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial		GO:0008137, GO:0046872, GO:0048038, GO:0051536, GO:0051539, GO:0055114
SMED30001673	tr|A0A0X3PX66|A0A0X3PX66_SCHSO	*-*	E3 SUMO-protein ligase PIAS1		GO:0008270, GO:0016874
SMED30025640			Unknown protein		
SMED30001670			Unknown protein		
SMED30025641	tr|J9KUI0|J9KUI0_ACYPI	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30001671	tr|Q8WSX0|Q8WSX0_GIRTI	*-*	Lectin 2b		GO:0030246
SMED30025642			Unknown protein		
SMED30025647	tr|A0A0R3TNE1|A0A0R3TNE1_RODNA	*-*	Ig-like domain-containing protein		GO:0016020, GO:0016021
SMED30025648	tr|Q2L6M3|Q2L6M3_DUGJA	***	Innexin		GO:0005886, GO:0005921, GO:0006811, GO:0016020, GO:0016021, GO:0030054
SMED30001678	tr|A0A0X3PZW1|A0A0X3PZW1_SCHSO	***	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial		GO:0005739, GO:0005743, GO:0006099, GO:0008177, GO:0009055, GO:0016491, GO:0022900, GO:0046872, GO:0051536, GO:0051537, GO:0051538, GO:0051539, GO:0055114
SMED30025649			Unknown protein		
SMED30001679	tr|A0A4S2LG32|A0A4S2LG32_OPIFE	***	Calcium-transporting ATPase		GO:0000166, GO:0005388, GO:0005524, GO:0006811, GO:0006816, GO:0016020, GO:0016021, GO:0070588
SMED30001676	tr|Q3KPX6|Q3KPX6_XENLA	*-*	Tubulin alpha chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005874, GO:0007010, GO:0007017
SMED30025643			Unknown protein		
SMED30001677			Unknown protein		
SMED30025644			Unknown protein		
SMED30001674			Unknown protein		
SMED30025645			Unknown protein		
SMED30001675			Unknown protein		
SMED30025646			Unknown protein		
SMED30013661	sp|Q6PW23|MX_EPICO	*-*	Interferon-induced GTP-binding protein Mx		GO:0000166, GO:0003924, GO:0005525, GO:0005737
SMED30013660			Unknown protein		
SMED30011000			Unknown protein		
SMED30013663	tr|Q0ZC25|Q0ZC25_GRYPE	***	Density-regulated protein		GO:0003743, GO:0006413
SMED30011001			Unknown protein		
SMED30013662			Unknown protein		
SMED30025629	tr|D6WVK2|D6WVK2_TRICA	*-*	Enkurin domain-containing protein		
SMED30011006			Unknown protein		
SMED30013669	sp|P62916|TF2B_RAT	*-*	Transcription initiation factor IIB		
SMED30011007	tr|A0A085M5X8|A0A085M5X8_9BILA	*-*	Integrase catalytic domain-containing protein		GO:0003676, GO:0004523, GO:0015074, GO:0090502
SMED30013668			Unknown protein		
SMED30011008			Unknown protein		
SMED30011009	tr|A0A0X3NKD4|A0A0X3NKD4_SCHSO	***	Potassium channel subfamily K member 18		GO:0005267, GO:0006811, GO:0016020, GO:0016021, GO:0071805
SMED30011002			Unknown protein		
SMED30013665			Unknown protein		
SMED30011003	tr|A0A419Q3Q7|A0A419Q3Q7_CLOSI	***	60S ribosomal protein L44		GO:0003735, GO:0005840, GO:0006412
SMED30013664	tr|K1Q7H0|K1Q7H0_CRAGI	*-*	ATP-dependent DNA helicase II subunit 2		GO:0000166, GO:0000723, GO:0003677, GO:0003678, GO:0003684, GO:0004386, GO:0005524, GO:0005634, GO:0006281, GO:0006303, GO:0006310, GO:0006974, GO:0016787, GO:0016817, GO:0032508, GO:0042162, GO:0043564
SMED30011004	tr|A0A4Y2TQ42|A0A4Y2TQ42_ARAVE	*-*	Transposon Ty3-G Gag-Pol polyprotein		GO:0004190, GO:0006508
SMED30013667			Unknown protein		
SMED30011005			Unknown protein		
SMED30013666	tr|A0A2T7PGH2|A0A2T7PGH2_POMCA	***	Acetyltransferase component of pyruvate dehydrogenase complex		GO:0004742, GO:0005759, GO:0006090, GO:0016740, GO:0016746, GO:0030523, GO:0045254
SMED30001683			Unknown protein		
SMED30001684	tr|A0A2J7Q581|A0A2J7Q581_9NEOP	*-*	Integrase catalytic domain-containing protein		GO:0003676, GO:0015074
SMED30001681			Unknown protein		
SMED30025630			Unknown protein		
SMED30001682			Unknown protein		
SMED30025631			Unknown protein		
SMED30001680			Unknown protein		
SMED30025636	tr|A0A4E9F225|A0A4E9F225_BRUMA	*-*	Cytochrome b5 heme-binding domain-containing protein		GO:0016020, GO:0016021
SMED30025637			Unknown protein		
SMED30001689			Unknown protein		
SMED30025638	tr|A0A075A1F7|A0A075A1F7_9TREM	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30025639	sp|Q5R5H7|S22A2_PONAB	***	Solute carrier family 22 member 2		GO:0006811, GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30001687			Unknown protein		
SMED30025632			Unknown protein		
SMED30001688			Unknown protein		
SMED30025633	tr|A0A183MFZ9|A0A183MFZ9_9TREM	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30001685			Unknown protein		
SMED30025634	tr|A0A267FNL8|A0A267FNL8_9PLAT	***	MFS domain-containing protein		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30001686	tr|A0A154P4F1|A0A154P4F1_DUFNO	*-*	Histone-lysine N-methyltransferase SETMAR		GO:0008168, GO:0016740, GO:0032259
SMED30025635	tr|A0A222C681|A0A222C681_DUGJA	***	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit		GO:0000166, GO:0005524, GO:0016301, GO:0016303, GO:0016310, GO:0016740, GO:0036092, GO:0046854, GO:0046934, GO:0048015, GO:0052812
SMED30001603			Unknown protein		
SMED30001604	tr|G7YG04|G7YG04_CLOSI	*-*	E3 SUMO-protein ligase PIAS1		GO:0008270, GO:0016874
SMED30001601	tr|A0A419PRG5|A0A419PRG5_CLOSI	*-*	Zinc finger-like protein		GO:0003676
SMED30001602			Unknown protein		
SMED30001600	tr|G7YGS5|G7YGS5_CLOSI	***	Lipopolysaccharide choline phosphotransferase-like protein		GO:0016740
SMED30035185	tr|A0A197K135|A0A197K135_9FUNG	*-*	Kinase-like protein		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0045292, GO:0070317, GO:1905746
SMED30035186			Unknown protein		
SMED30035183	tr|U3IYR0|U3IYR0_ANAPP	***	Chromosome 8 open reading frame 37		GO:0001917, GO:0005737, GO:0005829, GO:0005886, GO:0008594, GO:0030054, GO:0097546
SMED30035184			Unknown protein		
SMED30035189			Unknown protein		
SMED30035187	tr|C1C298|C1C298_CALCM	*-*	Cytochrome c oxidase copper chaperone		GO:0005507, GO:0005758, GO:0006825, GO:0016531
SMED30035188			Unknown protein		
